TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
testing,testing,testing,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,3
acoustic:0:testing,testing acoustic,Acoustic testing,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
flexure:0:testing,flexure testing,Flexure testing,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
durability:1:polymer:0:nanocomposite,nanocomposite polymer durability,polymer nanocomposites durability,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
durability,durability,durability,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
polymer:0:nanocomposite,polymer nanocomposite,polymer nanocomposites,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
environmental:0:aging,aging environmental,environmental aging,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
hydrothermal:0:degradation,hydrothermal degradation,hydrothermal degradation,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
fiber:0:composite,fiber composite,fiber composites,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
composite,composite,composites,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,5
cnt,cnt,CNT,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
reinforce,reinforce,reinforced,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
age:0:environment:1:accelerate,environment accelerate age,accelerated aging environments,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
composites:0:material,composites material,Materials  Composites,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
material,material,Materials,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
nanomaterial,nanomaterial,Nanomaterials,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
nanotechnology,nanotechnology,Nanotechnology,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
grid:0:connect:1:photovoltaic:0:array,connect photovoltaic array grid,grid-connected photovoltaic arrays ,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
grid,grid,grid,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
connect,connect,connected,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
array,array,array,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,11
minute,minute,minute,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,9
configuration:0:orientation:1:different:0:tilt,tilt different orientation configuration,different tilt orientation and configuration,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
orientation,orientation,orientation,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
different:0:tilt,tilt different,different tilt,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
silicon:0:module,silicon module,silicon modules ,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
wind,wind,wind,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
temperature,temperature,temperature,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
irradiance,irradiance,Irradiance,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
array:0:record,array record,recorded at each array,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
hour,hour,hour,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
interval,interval,intervals,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
sky,sky,sky,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
image,image,images,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
weather:0:station,station weather,weather station ,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
weather,weather,weather,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
datum,datum,data,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
include,include,included,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,4
second:0:datum,second datum,one-second data ,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
second,second,second,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
pv:0:weather,pv weather,PV weather,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
pv,pv,PV,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
environmental:0:metrology:1:metrology,metrology environmental,Metrology  Environmental metrology,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
environmental:0:metrology,metrology environmental,Environmental metrology,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
metrology,metrology,Metrology,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,4
alternative:0:energy:1:energy,energy alternative,Energy  Alternative energy,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
alternative:0:energy,energy alternative,Alternative energy,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,3
energy,energy,energy,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,6
electric:2:power:0:smart:1:grid,power grid electric smart,Electric power smart grid,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
power:0:smart:1:grid,power grid smart,power smart grid,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
power,power,power,NIST Campus Photovoltaic (PV) Arrays and Weather Station Data Sets,2
lead,lead,lead,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
contain,contain,containing,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
solder,solder,solder,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,3
temperature:0:melt,melt temperature,melting temperatures ,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
database,database,database,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
non:1:equilibrium:0:solidification:2:effect,effect non equilibrium solidification,effects of non-equilibrium solidification,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
equilibrium:0:solidification,equilibrium solidification,equilibrium solidification,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
solder:0:relevant,solder relevant,relevant to solders,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
include,include,included,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
material,material,materials,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,3
material:0:science,science material,materials science,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
science,science,science,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,3
measurement,measurement,measurement,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
metallurgy,metallurgy,metallurgy,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
phase,phase,phase,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,4
phase:0:equilibria,equilibria phase,phase equilibria,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,3
science:0:solder:1:standard,solder standard science,science solder standards,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
science:0:solder,solder science,science solder,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
standard,standard,standards,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,3
technical:0:activity,technical activity,technical activities,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
reference:0:datum,datum reference,Reference data,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
reference,reference,Reference,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
datum,datum,data,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,2
microstructure,microstructure,microstructures,Finite Element Modeling of Materials with Complex Microstructure (OOF),7
material,material,material,Finite Element Modeling of Materials with Complex Microstructure (OOF),7
property,property,properties,Finite Element Modeling of Materials with Complex Microstructure (OOF),3
